Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
1091,1,0.25,CUP,30,g,1,1994-01-31,2015-01-07
1091,2,1,CUP,120,g,1,2007-11-28,2015-01-07
1091,3,5,tbsp,23,g,1,2015-01-06,2015-01-06
1092,1,1,CUP,68,g,1,1994-01-31,2006-11-30
1092,2,1,envelope (1-1/3 cup),91,g,1,2002-09-06,2006-11-30
1092,3,0.333,cup (makes 1 cup reconstituted milk),23,g,1,2002-09-06,2006-11-30
1093,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1093,2,0.25,lb,113,g,1,2013-12-23,2013-12-23
1094,1,0.25,cup,30,g,1,2013-12-23,2015-01-07
1094,2,1,cup,120,g,1,2013-12-23,2015-01-07
1094,3,1,tbsp,6.5,g,1,2015-01-06,2015-01-06
1095,1,1,fl oz,38.2,g,1,1994-01-31,2013-12-26
1095,2,1,cup,306,g,1,2002-09-06,2013-12-26
1096,1,1,fl oz,31.5,g,1,1997-08-29,2013-12-26
1096,2,1,cup,252,g,1,2007-11-28,2013-12-26
1096,3,1,can (13 oz),369,g,1,2007-11-28,2007-11-28
1096,4,0.5,CUP,126,g,1,2007-11-28,2007-11-28
1097,1,1,fl oz,31.9,g,1,1997-08-29,2013-12-26
1097,2,1,cup,256,g,1,2007-11-28,2013-12-26
1097,3,0.5,CUP,128,g,1,2007-11-28,2007-11-28
1102,1,1,CUP,250,g,1,1999-03-22,2006-11-30
1102,2,1,FL OZ,31.2,g,1,1994-01-31,2010-01-05
1102,3,1,quart,1000,g,1,2002-09-06,2006-11-30
1103,1,1,CUP,250,g,1,1999-03-22,2006-11-30
1103,2,1,FL OZ,31.2,g,1,1994-01-31,2010-01-05
1103,3,1,quart,1000,g,1,2002-09-06,2006-11-30
1104,1,1,CUP,250,g,1,1997-08-29,2006-11-30
1104,2,1,quart,1000,g,1,1994-01-31,2006-11-30
1105,1,1,CUP,250,g,1,1994-01-31,2006-11-30
1105,2,1,FL OZ,31.2,g,1,2002-09-06,2010-01-05
1106,1,1,fl oz,30.5,g,1,1998-01-15,2013-12-26
1106,2,1,cup,244,g,1,2002-09-06,2013-12-26
1106,3,1,quart,976,g,1,2002-09-06,2006-11-30
1108,1,1,cup,244,g,1,2013-12-23,2013-12-23
1108,2,1,quart,976,g,1,2013-12-23,2013-12-23
1109,1,1,cup,245,g,1,2013-12-23,2013-12-23
1109,2,1,quart,980,g,1,2013-12-23,2013-12-23
1110,1,1,FL OZ,28.4,g,1,1999-03-22,2010-01-05
1110,2,1,container (10.6 oz),300,g,1,1994-01-31,2006-11-30
1111,1,1,FL OZ,28.4,g,1,1999-03-22,2010-01-05
1111,2,1,container (11 oz),313,g,1,1994-01-31,2006-11-30
1112,1,1,cup,246,g,1,2013-12-23,2013-12-23
1112,2,1,quart,984,g,1,2013-12-23,2013-12-23
1113,1,1,cup,57,g,1,2013-12-23,2013-12-23
1113,2,1,tbsp,2.9,g,1,2013-12-23,2013-12-23
1114,1,1,cup,246,g,1,2013-12-23,2013-12-23
1114,2,1,quart,984,g,1,2013-12-23,2013-12-23
1115,1,1,cup,145,g,1,2013-12-23,2013-12-23
1115,2,1,tbsp,7.5,g,1,2013-12-23,2013-12-23
1116,1,1,container (6 oz),170,g,1,1997-08-29,2013-12-26
1116,2,1,container (8 oz),227,g,1,1994-09-29,2006-11-30
1116,3,0.5,container (4 oz),113,g,1,2002-09-06,2006-11-30
1116,4,1,cup (8 fl oz),245,g,1,2013-12-23,2013-12-23
1117,1,1,container (6 oz),170,g,1,1997-08-29,2013-12-26
1117,2,1,container (8 oz),227,g,1,1994-09-29,2006-11-30
1117,3,0.5,container (4 oz),113,g,1,2002-09-06,2006-11-30
1117,4,1,cup (8 fl oz),245,g,1,2013-12-23,2013-12-23
1118,1,1,container (6 oz),170,g,1,1997-08-29,2013-12-26
1118,2,1,container (8 oz),227,g,1,1994-09-29,2006-11-30
