Food category code,Descriptor,Abbreviated descriptor,Cn code,Gtin,Product code,Brand owner name,Brand name,FNS Material Number,Source code,Date added,Last modified,Discontinued date,Form of food,Fdc id,Gpc product code
1,"Yogurt, fruit, low fat, 11g protein/8 oz","YOGURT,FRUIT,LOFAT,11G PROTEIN/8 OZ",1122,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Egg, whole, raw, fresh","EGG,WHL,RAW,FRSH",1123,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Egg, white, raw, fresh","EGG,WHITE,RAW,FRESH",1124,,,,,,1,01/31/1994,01/18/2011,,,,
1,"Egg, yolk, raw, fresh","EGG,YOLK,RAW,FRSH",1125,,,,,,1,01/31/1994,01/18/2011,,,,
1,"Egg, yolk, raw, frozen, pasteurized","EGG,YOLK,RAW,FRZ,PAST",1126,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Egg, yolk, raw, frozen, sugared, pasteurized","EGG,YOLK,RAW,FRZ,SUGARED,PAST",1127,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, whole, cooked, fried","EGG,WHL,CKD,FRIED",1128,,,,,,1,01/31/1994,01/18/2011,,,,
1,"Egg, whole, cooked, hard-boiled","EGG,WHL,CKD,HARD-BOILED",1129,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Egg, whole, cooked, omelet","EGG,WHOLE,COOKED,OMELET",1130,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Egg, whole, cooked, poached","EGG,WHL,CKD,POACHED",1131,,,,,,1,01/31/1994,01/18/2011,,,,
1,"Egg, whole, cooked, scrambled","EGG,WHL,CKD,SCRMBLD",1132,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Egg, whole, dried","EGG,WHL,DRIED",1133,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Egg, whole, dried, stabilized, glucose reduced","EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1134,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, white, dried, flakes, stabilized, glucose reduced","EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",1135,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, white, dried, powder, stabilized, glucose reduced","EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",1136,,,,,,1,01/31/1994,12/26/2013,,,,
1,"Egg, yolk, dried","EGG,YOLK,DRIED",1137,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Egg, duck, whole, fresh, raw","EGG,DUCK,WHOLE,FRESH,RAW",1138,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, goose, whole, fresh, raw","EGG,GOOSE,WHOLE,FRESH,RAW",1139,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, quail, whole, fresh, raw","EGG,QUAIL,WHOLE,FRESH,RAW",1140,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, turkey, whole, fresh, raw","EGG,TURKEY,WHL,FRSH,RAW",1141,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg substitute, powder","EGG SUBSTITUTE,POWDER",1144,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Butter, without salt","BUTTER,WITHOUT SALT",1145,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, parmesan, shredded","CHEESE,PARMESAN,SHREDDED",1146,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",1151,,,,,,1,01/31/1994,03/02/2012,,,,
1,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",1152,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, canned, evaporated, with added vitamin A","MILK,CND,EVAP,W/ VIT A",1153,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D","MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",1154,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D","MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",1155,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Cheese, goat, hard type","CHEESE,GOAT,HARD TYPE",1156,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, goat, semisoft type","CHEESE,GOAT,SEMISOFT TYPE",1157,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, goat, soft type","CHEESE,GOAT,SOFT TYPE",1159,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, yolk, raw, frozen, salted, pasteurized","EGG,YOLK,RAW,FRZ,SALTED,PAST",1160,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese substitute, mozzarella","CHEESE SUB,MOZZARELLA",1161,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese sauce, prepared from recipe","CHEESE SAU,PREP FROM RECIPE",1164,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, mexican, queso anejo","CHEESE,MEXICAN,QUESO ANEJO",1165,,,,,,1,09/20/1994,06/15/2013,,,,
1,"Cheese, mexican, queso asadero","CHEESE,MEXICAN,QUESO ASADERO",1166,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cheese, mexican, queso chihuahua","CHEESE,MEXICAN,QUESO CHIHUAHUA",1167,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cheese, low fat, cheddar or colby","CHEESE,LOFAT,CHEDDAR OR COLBY",1168,,,,,,1,06/29/1995,11/30/2006,,,,
1,"Cheese, low-sodium, cheddar or colby","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",1169,,,,,,1,09/30/1996,11/30/2006,,,,
1,"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)","EGG,WHL,RAW,FRZ,PAST",1171,,,,,,1,12/23/2013,02/13/2019,,,,
1,"Egg, white, raw, frozen, pasteurized","EGG,WHITE,RAW,FRZ,PAST",1172,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg, white, dried","EGG,WHITE,DRIED",1173,,,,,,1,09/30/1996,06/15/2013,,,,
1,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",1174,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Milk, fluid, 1% fat, without added vitamin A and vitamin D","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",1175,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Sour cream, reduced fat","SOUR CREAM,REDUCED FAT",1178,,,,,,1,06/29/1995,11/30/2006,,,,
1,"Sour cream, light","SOUR CREAM,LIGHT",1179,,,,,,1,06/29/1995,06/15/2013,,,,
1,"Sour cream, fat free","SOUR CREAM,FAT FREE",1180,,,,,,1,06/29/1995,11/30/2006,,,,
1,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",1184,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Parmesan cheese topping, fat free","PARMESAN CHS TOPPING,FAT FREE",1185,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, cream, fat free","CHEESE,CREAM,FAT FREE",1186,,,,,,1,09/30/1996,11/30/2006,,,,
1,"Yogurt, chocolate, nonfat milk","YOGURT,CHOC,NONFAT MILK",1187,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cream, half and half, fat free","CREAM,HALF & HALF,FAT FREE",1199,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, chocolate, fluid, commercial, reduced fat, with added calcium","MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",1202,,,,,,1,02/23/2006,11/30/2006,,,,
1,"Yogurt, fruit, lowfat, with low calorie sweetener","YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",1203,,,,,,1,02/23/2006,11/30/2006,,,,
1,"Cheese, parmesan, dry grated, reduced fat","CHEESE,PARMESAN,DRY GRATED,RED FAT",1204,,,,,,1,12/03/2007,12/03/2007,,,,
1,"Cream substitute, flavored, liquid","CREAM SUB,FLAV,LIQ",1205,,,,,,1,12/03/2007,12/03/2007,,,,
1,"Cream substitute, flavored, powdered","CREAM SUB,FLAV,PDR",1206,,,,,,1,12/03/2007,02/13/2019,,,,
1,"Cheese, provolone, reduced fat","CHEESE,PROVOLONE,RED FAT",1208,,,,,,1,12/03/2007,12/03/2007,,,,
1,"Cheese, Mexican, blend, reduced fat","CHEESE,MEXICAN,BLEND,RED FAT",1209,,,,,,1,12/03/2007,12/03/2007,,,,
1,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D","MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",1211,,,,,,1,01/04/2010,01/18/2011,,,,
1,"Milk, dry, whole, without added vitamin D","MILK,DRY,WHL,WO/ ADDED VITAMIN D",1212,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D","CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",1215,,,,,,1,01/04/2010,03/02/2012,,,,
1,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D","YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",1216,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",1217,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Yogurt, fruit variety, nonfat, fortified with vitamin D","YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",1218,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D","YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",1219,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Yogurt, vanilla, low fat, fortified with vitamin D","YOGURT,VANILLA,LOFAT,FORT W/ VITAMIN D",1220,,,,,,1,01/04/2010,02/13/2019,,,,
1,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D","YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",1221,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Yogurt, chocolate, nonfat milk, fortified with vitamin D","YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",1222,,,,,,1,01/04/2010,01/04/2010,,,,
1,Dulce de Leche,DULCE DE LECHE,1225,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Egg substitute, liquid or frozen, fat free","EGG SUB,LIQ OR FRZ,FAT FREE",1226,,,,,,1,01/04/2010,01/04/2010,,,,
1,"Cheese, dry white, queso seco","CHEESE,DRY WHITE,QUESO SECO",1227,,,,,,1,12/23/2013,12/23/2013,,,,
