Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
15194,1,3,oz,85,g,1,12/23/2013,12/23/2013
15194,2,1,fillet,159,g,1,12/23/2013,12/23/2013
15195,1,3,oz,85,g,1,12/23/2013,12/23/2013
15195,2,1,fillet,154,g,1,12/23/2013,12/23/2013
15196,1,3,oz,85,g,1,12/23/2013,12/23/2013
15196,2,0.5,fillet,159,g,1,12/23/2013,12/23/2013
15197,1,1,fillet,144,g,1,12/23/2013,12/23/2013
15197,2,3,oz,85,g,1,12/23/2013,12/23/2013
15199,1,3,oz,85,g,1,12/23/2013,12/23/2013
15199,2,0.5,fillet,151,g,1,12/23/2013,12/23/2013
15200,1,3,oz,85,g,1,01/31/1994,12/26/2013
15200,2,0.5,fillet,154,g,1,03/22/1999,12/26/2013
15201,1,1,"oz, boneless",28.35,g,1,09/29/1994,11/30/2006
15201,2,1,"cubic inch, boneless",17,g,1,03/22/1999,11/30/2006
15201,3,1,fillet,176,g,1,09/06/2002,11/30/2006
15201,4,3,oz,85,g,1,09/06/2002,11/30/2006
15204,1,1,fillet,124,g,1,12/23/2013,12/23/2013
15204,2,3,oz,85,g,1,12/23/2013,12/23/2013
15205,1,3,oz,85,g,1,01/31/1994,12/26/2013
15205,2,0.5,fillet,151,g,1,03/22/1999,12/26/2013
15206,1,0.5,fillet,137,g,1,12/23/2013,12/23/2013
15206,2,3,oz,85,g,1,12/23/2013,12/23/2013
15207,1,1,oz,28.35,g,1,12/23/2013,12/23/2013
15207,2,3,oz,85,g,1,12/23/2013,12/23/2013
15208,1,3,oz,85,g,1,12/23/2013,12/23/2013
15208,2,0.5,fillet,151,g,1,12/23/2013,12/23/2013
15209,1,3,oz,85,g,1,12/23/2013,12/23/2013
15209,2,0.5,fillet,154,g,1,12/23/2013,12/23/2013
15210,1,3,oz,85,g,1,12/23/2013,12/23/2013
15210,2,0.5,fillet,154,g,1,12/23/2013,12/23/2013
15211,1,3,oz,85,g,1,12/23/2013,12/23/2013
15211,2,0.5,fillet,154,g,1,12/23/2013,12/23/2013
15212,1,3,oz,85,g,1,01/31/1994,01/07/2015
15212,2,0.5,fillet,124,g,1,01/06/2015,01/06/2015
15214,1,3,oz,85,g,1,01/31/1994,12/26/2013
15214,2,1,fillet,186,g,1,03/22/1999,12/26/2013
15216,1,1,fillet,50,g,1,12/23/2013,12/23/2013
15216,2,3,oz,85,g,1,12/23/2013,12/23/2013
15217,1,1,fillet,124,g,1,12/23/2013,12/23/2013
15217,2,3,oz,85,g,1,12/23/2013,12/23/2013
15218,1,1,fillet,37,g,1,12/23/2013,12/23/2013
15218,2,3,oz,85,g,1,12/23/2013,12/23/2013
15219,1,1,fillet,62,g,1,01/31/1994,11/30/2006
15219,2,3,oz,85,g,1,03/22/1999,11/30/2006
15220,1,3,oz,85,g,1,12/23/2013,12/23/2013
15220,2,0.5,fillet,154,g,1,12/23/2013,12/23/2013
15221,1,3,oz,85,g,1,12/23/2013,12/23/2013
15223,1,3,oz,85,g,1,01/31/1994,12/26/2013
15223,2,1,fillet,154,g,1,03/22/1999,12/26/2013
15224,1,0.5,fillet,119,g,1,12/23/2013,12/23/2013
15224,2,3,oz,85,g,1,12/23/2013,12/23/2013
15226,1,3,oz,85,g,1,12/23/2013,12/23/2013
15226,2,1,crab,127,g,1,12/23/2013,12/23/2013
15227,1,3,oz,85,g,1,12/23/2013,12/23/2013
15228,1,3,oz,85,g,1,12/23/2013,12/23/2013
15228,2,1,lobster,163,g,1,12/23/2013,12/23/2013
15229,1,3,oz,85,g,1,12/23/2013,12/23/2013
15230,1,3,oz,85,g,1,12/23/2013,12/23/2013
15231,1,1,medium,25,g,1,12/23/2013,12/23/2013
15231,2,3,oz,85,g,1,12/23/2013,12/23/2013
15232,1,3,oz,85,g,1,12/23/2013,12/23/2013
15233,1,1,fillet,143,g,1,12/23/2013,12/23/2013
15233,2,3,oz,85,g,1,12/23/2013,12/23/2013
15234,1,3,oz,85,g,1,01/31/1994,12/26/2013
15234,2,1,fillet,159,g,1,03/22/1999,12/26/2013
15235,1,1,fillet,143,g,1,01/31/1994,11/30/2006
15235,2,3,oz,85,g,1,03/22/1999,11/30/2006
15236,1,3,oz,85,g,1,01/31/1994,12/26/2013
15236,2,0.5,fillet,198,g,1,03/22/1999,12/26/2013
15237,1,3,oz,85,g,1,01/31/1994,12/26/2013
15237,2,0.5,fillet,178,g,1,03/22/1999,12/26/2013
15238,1,3,oz,85,g,1,12/23/2013,12/23/2013
15238,2,1,fillet,159,g,1,12/23/2013,12/23/2013
15239,1,1,fillet,143,g,1,12/23/2013,12/23/2013
15239,2,3,oz,85,g,1,12/23/2013,12/23/2013
15240,1,1,fillet,79,g,1,12/23/2013,12/23/2013
15240,2,3,oz,85,g,1,12/23/2013,12/23/2013
15241,1,1,fillet,71,g,1,12/23/2013,12/23/2013
15241,2,3,oz,85,g,1,12/23/2013,12/23/2013
15242,1,3,oz,85,g,1,08/29/1997,11/30/2006
15242,2,8,crayfish,27,g,1,11/17/1994,11/30/2006
15243,1,3,oz,85,g,1,08/29/1997,11/30/2006
15244,1,3,oz,85,g,1,12/23/2013,12/23/2013
15244,2,6,medium,59,g,1,12/23/2013,12/23/2013
15245,1,3,oz,85,g,1,12/23/2013,12/23/2013
15245,2,6,medium,84,g,1,12/23/2013,12/23/2013
15246,1,3,oz,85,g,1,03/22/1999,11/30/2006
15246,2,6,medium,59,g,1,01/31/1994,11/30/2006
15247,1,3,oz,85,g,1,12/23/2013,12/23/2013
15247,2,0.5,fillet,178,g,1,12/23/2013,12/23/2013
15250,1,1,"cup, sliced",127,g,1,12/23/2013,12/23/2013
15250,2,1,"oz cooked, yield",17,g,1,12/23/2013,12/23/2013
15251,1,1,oz,28.35,g,1,12/23/2013,12/23/2013
15252,1,1,oz,28.35,g,1,12/23/2013,12/23/2013
15253,1,3,oz,85,g,1,03/02/2012,12/26/2013
15253,2,1,can total can contents,417,g,1,12/23/2013,12/23/2013
15260,1,3,oz,85,g,1,12/23/2013,12/23/2013
15260,2,1,can drained solids (total),315,g,1,12/23/2013,12/23/2013
15261,1,1,fillet,116,g,1,12/23/2013,12/23/2013
15262,1,1,fillet,87,g,1,12/23/2013,12/23/2013
15264,1,3,oz,85,g,1,03/02/2012,12/26/2013
15264,2,1,"can drained solids, bone and skin removed",247,g,1,12/23/2013,12/23/2013
15265,1,3,oz,85,g,1,03/02/2012,12/26/2013
15265,2,1,"can drained solids, bone and skin removed",242,g,1,12/23/2013,12/23/2013
15266,1,3,oz,85,g,1,01/06/2015,01/06/2015
15267,1,3,oz,85,g,1,01/06/2015,01/06/2015
15269,1,3,oz,85,g,1,01/06/2015,01/06/2015
15270,1,3,oz,85,g,1,01/06/2015,01/06/2015
15271,1,3,oz,85,g,1,01/06/2015,01/06/2015
15274,1,1,filet,149,g,1,12/23/2013,12/23/2013
15274,2,1,fish,332,g,1,12/23/2013,12/23/2013
16001,1,1,cup,197,g,1,12/23/2013,12/23/2013
16002,1,1,cup,230,g,1,12/23/2013,12/23/2013
16003,1,1,cup,296,g,1,12/23/2013,12/23/2013
